City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
84,qaanaaq,77.484,-69.3632,254.55,63,90,3.24,GL,1675532117
85,chuy,-33.6971,-53.4616,297.53,56,46,7.66,UY,1675532142
86,borogontsy,62.6683,131.1683,235.02,100,96,1.28,RU,1675532261
87,esperance,-33.8667,121.9,291.67,69,0,7.81,AU,1675531487
88,havoysund,70.9963,24.6622,271.28,84,95,3.9,NO,1675532262
89,gallup,35.5281,-108.7426,277.6,54,0,0.45,US,1675532262
90,cayenne,4.9333,-52.3333,298.17,100,100,1.03,GF,1675531982
91,college,64.8569,-147.8028,260.12,81,75,3.09,US,1675532229
92,port lincoln,-34.7333,135.8667,288.05,80,3,1.76,AU,1675532263
93,dzaoudzi,-12.7887,45.2699,301.09,78,0,2.06,YT,1675532263
94,riberalta,-10.9833,-66.1,301.26,74,75,6.17,BO,1675532263
95,kamaishi,39.2667,141.8833,271.72,76,25,3.72,JP,1675532262
96,vila,42.0304,-8.1588,283.64,68,0,2.04,PT,1675532264
97,touros,-5.1989,-35.4608,302.45,65,100,6.69,BR,1675532264
98,mandalgovi,45.7625,106.2708,262.63,45,97,4.8,MN,1675532265
99,goreloye,52.937,41.5043,267.57,96,100,1.94,RU,1675532265
100,cape town,-33.9258,18.4232,298.08,71,0,5.66,ZA,1675532010
101,sarangani,5.4033,125.4636,300.39,75,100,5.93,PH,1675532266
102,abano terme,45.361,11.7914,282.45,88,0,0.89,IT,1675532266
103,lebu,-37.6167,-73.65,292.74,76,34,5.72,CL,1675532234
104,riachao das neves,-11.7461,-44.91,303.32,53,79,2.39,BR,1675532267
105,torbay,47.6666,-52.7314,261.7,76,100,15.95,CA,1675532138
106,umm lajj,25.0213,37.2685,293.41,53,31,4.41,SA,1675532267
107,nishihara,26.1842,127.7558,290.75,75,100,4.12,JP,1675532268
108,arona,28.0996,-16.681,287.44,59,40,3.6,ES,1675532268
109,saskylakh,71.9167,114.0833,229.17,100,58,0.91,RU,1675532197
110,osa,57.2829,55.4567,257.77,97,100,0.77,RU,1675532269
111,severodvinsk,64.5635,39.8302,267.21,98,50,1.84,RU,1675532269
112,koumac,-20.5667,164.2833,299.31,83,81,1.5,NC,1675532270
113,yellowknife,62.456,-114.3525,244.44,69,75,2.57,CA,1675532041
114,popondetta,-8.7537,148.2534,296.72,97,100,0.82,PG,1675532270
115,eureka,40.8021,-124.1637,285.48,74,100,3.13,US,1675532191
116,busselton,-33.65,115.3333,297.24,45,89,3.9,AU,1675532114
117,porto santo,33.072,-16.3415,290.36,63,40,7.72,PT,1675532271
118,paamiut,61.994,-49.6678,261.62,75,100,7.31,GL,1675532246
119,sao gabriel da cachoeira,-0.1303,-67.0892,303.04,70,40,2.06,BR,1675532025
120,gizo,-8.103,156.8419,300.79,76,92,2.86,SB,1675532271
121,navrongo,10.8956,-1.0921,306.45,12,9,2.92,GH,1675532272
122,samarai,-10.6167,150.6667,300.32,78,100,3.39,PG,1675532272
