City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
84,khatanga,71.9667,102.5,239.24,100,84,1.8,RU,1675467120
85,la ronge,55.1001,-105.2842,263.29,79,100,3.09,CA,1675467120
86,bismarck,46.8083,-100.7837,264.07,76,0,4.63,US,1675467120
87,cabo rojo,18.0866,-67.1457,299.21,66,27,2.75,PR,1675467121
88,praya,14.9215,-23.5087,294.45,78,20,8.23,CV,1675467121
89,omboue,-1.5746,9.2618,299.54,88,55,2.9,GA,1675466884
90,antalaha,-14.9003,50.2788,296.97,89,2,2.39,MG,1675467123
91,ambilobe,-13.2,49.05,296.25,94,8,0.56,MG,1675467123
92,lebu,-37.6167,-73.65,290.76,75,0,8.94,CL,1675467124
93,lorengau,-2.0226,147.2712,301.21,74,100,0.52,PG,1675467125
94,prince rupert,54.3161,-130.3201,279.98,86,100,10.29,CA,1675467125
95,flinders,-34.5833,150.8552,294.85,48,0,3.13,AU,1675467126
96,porto novo,6.4965,2.6036,302.05,87,16,2.72,BJ,1675467127
97,george,-33.963,22.4617,288.9,94,7,2.06,ZA,1675467127
98,vizinga,61.0749,50.1031,266.3,97,100,1.55,RU,1675467128
99,pemangkat,1.1667,108.9667,296.66,92,100,1.94,ID,1675466890
100,ancud,-41.8697,-73.8203,290.37,81,3,1.73,CL,1675467130
101,lac-megantic,45.5834,-70.8823,243.44,88,100,7.94,CA,1675467005
102,sambava,-14.2667,50.1667,297.21,91,8,2.4,MG,1675467131
103,east london,-33.0153,27.9116,296.02,82,90,4.76,ZA,1675467131
104,horconcitos,8.4682,-81.8007,291.95,87,83,3.65,PA,1675467132
105,rio gallegos,-51.6226,-69.2181,294.18,28,0,14.92,AR,1675467132
106,antofagasta,-23.65,-70.4,294.75,87,21,1.65,CL,1675467133
107,klaksvik,62.2266,-6.589,281.66,91,100,10.42,FO,1675467134
108,marsa matruh,31.3525,27.2453,286.26,82,75,4.63,EG,1675467134
109,gazojak,41.1875,61.4036,275.03,71,43,3.2,TM,1675467135
110,provideniya,64.3833,-173.3,251.45,89,58,5.37,RU,1675467135
111,adrar,20.5022,-10.0711,287.44,11,100,5.75,MR,1675467136
112,sucua,-2.4667,-78.1667,300.56,57,40,3.6,EC,1675467137
113,norman wells,65.282,-126.8329,240.17,75,75,1.54,CA,1675467137
114,pak phanang,8.3511,100.202,299.16,84,33,5.64,TH,1675467138
115,sibu,2.3,111.8167,296.32,100,40,1.54,MY,1675467138
116,hami,42.8,93.45,269.53,46,96,1.32,CN,1675467139
117,mandalgovi,45.7625,106.2708,260.62,47,1,4.78,MN,1675467139
118,beringovskiy,63.05,179.3167,249.85,95,99,6.45,RU,1675467140
119,savalou,7.9281,1.9756,301.14,68,65,2.63,BJ,1675467141
